timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
197,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
198,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
199,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
200,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
201,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
202,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
203,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5223,0.514,0.5293,0.4288,0.5093
204,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
205,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
206,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
207,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
208,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
209,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
210,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
211,0.5293,0.5209,0.5056,0.5028,0.5293,0.5126,0.4288,0.5279,0.5363,0.514,0.5363,0.4288,0.5108
