timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
209,0.4415,0.4672,0.4716,0.641,0.5399,0.5363,0.5514,0.6631,0.5842,0.6631,0.4415,0.544
210,0.4415,0.4672,0.4716,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5485
211,0.4415,0.4672,0.4716,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5485
212,0.4415,0.4672,0.4716,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5485
213,0.4415,0.4672,0.4849,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5499
214,0.4415,0.4672,0.4849,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5499
215,0.4415,0.4672,0.4849,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5499
216,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
217,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
218,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
219,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
220,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
221,0.4415,0.4672,0.4956,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5511
222,0.4415,0.4672,0.5027,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5519
223,0.4415,0.4672,0.5027,0.6809,0.5399,0.5363,0.5514,0.6631,0.5842,0.6809,0.4415,0.5519
