timestamp,e1000e0,e1000e4,e1000e6,e1000e7,e1000e3,e1000e9,e1000e1,e1000e2,e1000e5,e1000e8,max,min,avg
391,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3027
394,0.2958,0.2883,0.2267,0.3123,0.2613,0.3498,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3027
396,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3089
398,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3089
399,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3089
401,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3243,0.4625,0.1892,0.3168,0.4625,0.1892,0.3089
402,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3243,0.467,0.1892,0.3168,0.467,0.1892,0.3093
404,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.467,0.1892,0.3168,0.467,0.1892,0.3098
408,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.467,0.1892,0.3168,0.467,0.1892,0.3098
413,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.467,0.1892,0.3168,0.467,0.1892,0.3098
414,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.467,0.1892,0.3168,0.467,0.1892,0.3098
418,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.467,0.1892,0.3168,0.467,0.1892,0.3098
419,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3128
420,0.2958,0.2883,0.2267,0.3123,0.2613,0.4114,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3128
422,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
425,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
426,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
431,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
438,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
439,0.2958,0.2883,0.2267,0.3123,0.2613,0.4144,0.3288,0.497,0.1892,0.3168,0.497,0.1892,0.3131
