timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
13033,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13038,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13039,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13040,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13044,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13051,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13053,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13061,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13063,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13064,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13070,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13072,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13073,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13077,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13084,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13090,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13093,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13096,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13098,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13101,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13106,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13109,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13110,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13112,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13119,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13123,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13127,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13137,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13152,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13153,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13160,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13161,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13163,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13169,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13170,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13177,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13179,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13184,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
