timestamp,legacy_ee100pro4,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro9,legacy_ee100pro7,legacy_ee100pro3,legacy_ee100pro5,legacy_ee100pro1,legacy_ee100pro8,legacy_ee100pro0,max,min,avg
161,0.3032,0.3218,0.1042,0.4954,0.3681,0.3356,0.3125,0.1181,0.4329,0.3843,0.4954,0.1042,0.3176
162,0.3032,0.3218,0.2708,0.0116,0.3681,0.3356,0.3125,0.1181,0.4329,0.3843,0.4329,0.0116,0.2859
163,0.3032,0.3218,0.2708,0.0116,0.3681,0.3356,0.3125,0.1181,0.3773,0.3843,0.3843,0.0116,0.2803
164,0.3032,0.3218,0.2847,0.0116,0.3681,0.3356,0.3125,0.1181,0.3773,0.3843,0.3843,0.0116,0.2817
165,0.3032,0.3218,0.2847,0.0116,0.3681,0.3356,0.3125,0.1181,0.2778,0.3843,0.3843,0.0116,0.2718
166,0.3032,0.3218,0.3264,0.0116,0.3681,0.0116,0.3125,0.1181,0.2778,0.3843,0.3843,0.0116,0.2435
167,0.3218,0.3218,0.3264,0.0116,0.3681,0.0116,0.3125,0.4468,0.2778,0.3843,0.4468,0.0116,0.2783
168,0.3218,0.3125,0.3171,0.4884,0.3681,0.0116,0.2894,0.4468,0.2778,0.3843,0.4884,0.0116,0.3218
169,0.3218,0.3125,0.3171,0.4884,0.3681,0.0116,0.2894,0.4468,0.2755,0.3843,0.4884,0.0116,0.3216
170,0.3218,0.3125,0.2894,0.4884,0.3657,0.3611,0.2894,0.4468,0.2755,0.3843,0.4884,0.2755,0.3535
171,0.3218,0.3125,0.2778,0.4884,0.3634,0.3611,0.2894,0.4468,0.2731,0.3843,0.4884,0.2731,0.3519
172,0.2176,0.3125,0.2778,0.4884,0.3634,0.3611,0.2894,0.4468,0.2731,0.294,0.4884,0.2176,0.3324
173,0.2176,0.3125,0.1875,0.4884,0.3634,0.3611,0.2894,0.4468,0.2731,0.3843,0.4884,0.1875,0.3324
174,0.2176,0.3125,0.1505,0.4884,0.3634,0.3611,0.0995,0.4468,0.2731,0.3796,0.4884,0.0995,0.3092
175,0.3125,0.0116,0.1505,0.4884,0.3634,0.3611,0.0995,0.4468,0.2731,0.3796,0.4884,0.0116,0.2886
176,0.3125,0.0116,0.1505,0.4884,0.3634,0.3611,0.0995,0.4444,0.4931,0.3796,0.4931,0.0116,0.3104
177,0.3125,0.0116,0.2708,0.4838,0.3634,0.3611,0.0995,0.4444,0.4931,0.3796,0.4931,0.0116,0.322
178,0.3125,0.0116,0.2708,0.4838,0.4769,0.3611,0.0995,0.4444,0.4931,0.2894,0.4931,0.0116,0.3243
179,0.3125,0.0116,0.2708,0.4838,0.4769,0.3611,0.0995,0.4306,0.4653,0.1806,0.4838,0.0116,0.3093
181,0.3125,0.0116,0.2708,0.4838,0.4769,0.3611,0.0995,0.4306,0.4653,0.1806,0.4838,0.0116,0.3093
182,0.3125,0.0116,0.2708,0.4838,0.4769,0.3611,0.0995,0.4306,0.4653,0.1806,0.4838,0.0116,0.3093
183,0.419,0.0116,0.3194,0.4838,0.4769,0.3611,0.0995,0.3171,0.4653,0.1806,0.4838,0.0116,0.3134
184,0.419,0.0116,0.3194,0.4838,0.4769,0.3611,0.25,0.3171,0.4514,0.463,0.4838,0.0116,0.3553
185,0.419,0.0116,0.3194,0.3681,0.4769,0.3611,0.25,0.3171,0.4514,0.463,0.4769,0.0116,0.3438
186,0.419,0.2755,0.3194,0.3681,0.4769,0.5093,0.25,0.4352,0.4514,0.463,0.5093,0.25,0.3968
187,0.419,0.2755,0.3194,0.3264,0.4769,0.5093,0.25,0.2593,0.4514,0.463,0.5093,0.25,0.375
188,0.419,0.2755,0.4051,0.0995,0.4769,0.5093,0.25,0.2593,0.294,0.463,0.5093,0.0995,0.3452
189,0.419,0.0116,0.4051,0.0995,0.4769,0.5093,0.2477,0.2593,0.2708,0.463,0.5093,0.0116,0.3162
190,0.419,0.1667,0.4051,0.0995,0.4745,0.5093,0.2477,0.2593,0.375,0.463,0.5093,0.0995,0.3419
191,0.3935,0.1667,0.4051,0.0995,0.4745,0.3495,0.2477,0.2593,0.3727,0.463,0.4745,0.0995,0.3231
192,0.3935,0.1667,0.4051,0.3819,0.4745,0.3495,0.2477,0.2593,0.3727,0.463,0.4745,0.1667,0.3514
193,0.3935,0.3333,0.4051,0.3819,0.4745,0.294,0.2477,0.2593,0.3727,0.463,0.4745,0.2477,0.3625
194,0.3935,0.3333,0.4329,0.3819,0.4745,0.294,0.2477,0.2593,0.338,0.463,0.4745,0.2477,0.3618
195,0.3796,0.3333,0.294,0.3819,0.4236,0.294,0.2477,0.3519,0.287,0.463,0.463,0.2477,0.3456
196,0.3796,0.3333,0.294,0.3819,0.4236,0.294,0.3819,0.3519,0.2847,0.463,0.463,0.2847,0.3588
197,0.3796,0.3333,0.294,0.3819,0.4236,0.3403,0.3819,0.3519,0.2847,0.4606,0.4606,0.2847,0.3632
198,0.3796,0.331,0.0116,0.3819,0.4236,0.3403,0.3819,0.1852,0.2847,0.4606,0.4606,0.0116,0.318
199,0.3796,0.331,0.0116,0.2662,0.4236,0.3403,0.3819,0.1852,0.2847,0.4606,0.4606,0.0116,0.3065
200,0.3796,0.331,0.1852,0.2662,0.4236,0.3403,0.3819,0.4537,0.2847,0.4606,0.4606,0.1852,0.3507
201,0.3796,0.331,0.1852,0.2662,0.4236,0.3403,0.3819,0.4537,0.5116,0.456,0.5116,0.1852,0.3729
203,0.4051,0.331,0.2963,0.3287,0.4236,0.5602,0.6528,0.4537,0.5116,0.456,0.6528,0.2963,0.4419
204,0.3866,0.331,0.2546,0.3264,0.4236,0.5602,0.6528,0.4537,0.5116,0.456,0.6528,0.2546,0.4357
205,0.3866,0.331,0.0116,0.3472,0.4236,0.5602,0.6528,0.4537,0.5116,0.456,0.6528,0.0116,0.4134
