timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
117,0.8146,0.8293,0.8024,0.8146,0.7805,0.8098,0.7878,0.8415,0.7927,0.839,0.8415,0.7805,0.8112
118,0.8146,0.8293,0.8024,0.8146,0.7805,0.8098,0.7878,0.8415,0.7927,0.839,0.8415,0.7805,0.8112
119,0.8171,0.8293,0.8171,0.8146,0.7829,0.8171,0.7878,0.8415,0.7951,0.839,0.8415,0.7829,0.8141
120,0.8171,0.8293,0.8171,0.8195,0.7829,0.8171,0.7902,0.8415,0.7951,0.839,0.8415,0.7829,0.8149
121,0.8171,0.8293,0.8171,0.8195,0.7878,0.8171,0.7902,0.8415,0.7976,0.839,0.8415,0.7878,0.8156
122,0.8171,0.8293,0.8171,0.8195,0.7878,0.8171,0.7902,0.8415,0.7976,0.839,0.8415,0.7878,0.8156
123,0.8171,0.8293,0.8171,0.8195,0.7878,0.8171,0.7927,0.8415,0.8098,0.839,0.8415,0.7878,0.8171
124,0.8171,0.8293,0.822,0.8195,0.7927,0.8171,0.7927,0.8415,0.8098,0.839,0.8415,0.7927,0.8181
125,0.8171,0.8293,0.822,0.8195,0.7927,0.8171,0.7927,0.8415,0.8098,0.839,0.8415,0.7927,0.8181
126,0.8171,0.8293,0.822,0.8195,0.8,0.8171,0.7927,0.8415,0.8098,0.839,0.8415,0.7927,0.8188
127,0.8171,0.8293,0.822,0.8195,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8193
128,0.8171,0.8293,0.822,0.822,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8195
129,0.8171,0.8293,0.822,0.822,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8195
130,0.8171,0.8293,0.822,0.8244,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8198
131,0.8171,0.8293,0.822,0.8244,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8198
132,0.8171,0.8293,0.822,0.8244,0.8,0.8171,0.7951,0.8415,0.8122,0.839,0.8415,0.7951,0.8198
