timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
253,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
254,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
255,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
256,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
257,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
258,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
259,0.1932,0.35,0.2386,0.1205,0.1568,0.2023,0.3136,0.2341,0.25,0.2295,0.35,0.1205,0.2289
260,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
261,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
262,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
263,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
264,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
265,0.1932,0.3545,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3545,0.1205,0.2295
266,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3591,0.1205,0.23
267,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2341,0.25,0.2295,0.3591,0.1205,0.23
