timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
170,0.4203,0.5725,0.5145,0.5072,0.3406,0.471,0.4638,0.2246,0.5,0.5725,0.2246,0.4461
171,0.4783,0.5217,0.5145,0.5072,0.3406,0.4058,0.3913,0.2246,0.5,0.5217,0.2246,0.4316
172,0.4783,0.5217,0.5145,0.5072,0.3406,0.4058,0.3913,0.4928,0.5,0.5217,0.3406,0.4614
173,0.4783,0.5217,0.5145,0.5072,0.3406,0.471,0.4855,0.4638,0.5,0.5217,0.3406,0.4758
174,0.5072,0.5217,0.5145,0.4783,0.3406,0.4348,0.4855,0.4638,0.5,0.5217,0.3406,0.4718
175,0.2754,0.5217,0.5072,0.4783,0.3406,0.4348,0.4855,0.4638,0.5,0.5217,0.2754,0.4453
176,0.2754,0.5217,0.5072,0.4783,0.6739,0.4348,0.4855,0.4638,0.5,0.6739,0.2754,0.4823
177,0.2754,0.558,0.5072,0.4783,0.6739,0.4348,0.4855,0.4638,0.5,0.6739,0.2754,0.4863
179,0.2754,0.558,0.4783,0.4275,0.6739,0.4348,0.4855,0.4638,0.5,0.6739,0.2754,0.4775
180,0.2754,0.558,0.4783,0.4275,0.6739,0.6594,0.5942,0.4638,0.5,0.6739,0.2754,0.5145
181,0.6812,0.558,0.4783,0.4275,0.6739,0.6594,0.5942,0.4638,0.5,0.6812,0.4275,0.5596
182,0.6812,0.558,0.4783,0.4275,0.6594,0.6594,0.5942,0.4638,0.5,0.6812,0.4275,0.558
184,0.6812,0.558,0.4783,0.4275,0.471,0.6594,0.6087,0.4638,0.5,0.6812,0.4275,0.5387
185,0.6812,0.558,0.4783,0.4275,0.2681,0.6594,0.6087,0.4638,0.5,0.6812,0.2681,0.5161
186,0.6812,0.5725,0.4783,0.4275,0.2681,0.6594,0.6087,0.6739,0.5,0.6812,0.2681,0.5411
187,0.4638,0.5725,0.4783,0.2971,0.2681,0.5942,0.6087,0.2971,0.5,0.6087,0.2681,0.4533
188,0.4783,0.5725,0.4783,0.2971,0.2681,0.5942,0.529,0.4783,0.5,0.5942,0.2681,0.4662
189,0.5,0.5725,0.4783,0.4783,0.2681,0.5942,0.529,0.4783,0.5,0.5942,0.2681,0.4887
190,0.5,0.5725,0.4783,0.2536,0.2681,0.5942,0.529,0.4783,0.5,0.5942,0.2536,0.4638
