timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
179,0.4325,0.4033,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.3956
180,0.4325,0.4033,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.3956
181,0.4325,0.4033,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.3956
182,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.396
183,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.396
184,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3887,0.3869,0.3978,0.4325,0.3777,0.396
185,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3978,0.4325,0.3777,0.3962
186,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3978,0.4325,0.3777,0.3962
187,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3978,0.4325,0.3777,0.3962
188,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3978,0.4325,0.3777,0.3962
189,0.4325,0.4069,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3964
190,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
191,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
192,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
193,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
194,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
195,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
197,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3905,0.3869,0.3996,0.4325,0.3777,0.3968
198,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4142,0.4325,0.3777,0.3988
199,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4142,0.4325,0.3777,0.3988
200,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4142,0.4325,0.3777,0.3988
201,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3992
202,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3992
203,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3992
204,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3992
205,0.4325,0.4106,0.3869,0.3796,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3992
206,0.4325,0.4106,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3994
207,0.4325,0.4124,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3996
208,0.4325,0.4124,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.3996
209,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4179,0.4325,0.3777,0.4003
210,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
211,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
212,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
213,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
214,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
215,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
216,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4197,0.4325,0.3777,0.4005
217,0.4325,0.4179,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4215,0.4325,0.3777,0.4007
218,0.4325,0.4215,0.3869,0.3814,0.3777,0.4069,0.3942,0.3869,0.4215,0.4325,0.3777,0.4011
219,0.4325,0.4215,0.3869,0.385,0.3777,0.4069,0.3942,0.3869,0.4215,0.4325,0.3777,0.4015
220,0.4325,0.4215,0.3869,0.3869,0.3777,0.4069,0.3942,0.3869,0.4215,0.4325,0.3777,0.4017
221,0.4325,0.4215,0.3869,0.3869,0.3777,0.4069,0.3942,0.3869,0.4215,0.4325,0.3777,0.4017
