timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
179,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3652,0.587,0.3652,0.4944
180,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
182,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
183,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
184,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
185,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
186,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
187,0.5261,0.587,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3696,0.587,0.3652,0.4948
188,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3826,0.6174,0.3652,0.4991
189,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5478,0.5609,0.3826,0.6174,0.3652,0.4991
190,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5696,0.5609,0.3826,0.6174,0.3652,0.5013
191,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5696,0.5609,0.3826,0.6174,0.3652,0.5013
193,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5696,0.5609,0.3826,0.6174,0.3652,0.5013
194,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5696,0.5609,0.3826,0.6174,0.3652,0.5013
195,0.5261,0.6174,0.4826,0.5174,0.5565,0.3652,0.4348,0.5696,0.5609,0.3826,0.6174,0.3652,0.5013
198,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
199,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
200,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
201,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
202,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
203,0.5261,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5035
204,0.5348,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5044
205,0.5348,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5044
206,0.5348,0.6174,0.4826,0.5174,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5044
207,0.5348,0.6174,0.4826,0.5217,0.5565,0.387,0.4348,0.5696,0.5609,0.3826,0.6174,0.3826,0.5048
208,0.5348,0.6174,0.4826,0.5217,0.5565,0.387,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5057
210,0.5348,0.6174,0.4826,0.5217,0.5565,0.4,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.507
211,0.5348,0.6174,0.4826,0.5217,0.5565,0.4,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.507
212,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
213,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
214,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
215,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
216,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
217,0.5348,0.6174,0.4826,0.5217,0.5565,0.4609,0.4348,0.5783,0.5609,0.3826,0.6174,0.3826,0.5131
